"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
7.199455833E-1;-1.134023257E-2;-1.360389683E-2;-2.628890276E-1
7.298665833E-1;4.536588490E-2;5.417215079E-2;-2.907525301E-1
7.397885833E-1;7.086458802E-2;4.150030017E-2;-3.108404875E-1
7.497095833E-1;6.449351460E-2;1.479083672E-2;-2.575554848E-1
7.596305833E-1;2.679407783E-2;1.414741669E-2;-1.922481209E-1
7.695515833E-1;2.576587722E-4;9.387040511E-3;-1.726741344E-1
7.794725833E-1;1.818632521E-2;1.449791342E-2;-1.837925762E-1
7.893935833E-1;3.899624199E-2;1.639889553E-3;-2.021412998E-1
7.993145833E-1;2.464766428E-2;-7.635634392E-3;-2.119545192E-1
8.092365833E-1;-1.891099662E-2;-2.120603807E-2;-2.094141245E-1
8.191575833E-1;-7.481287420E-2;-2.016767114E-2;-2.139281780E-1
8.290785833E-1;-7.462573051E-2;4.659926519E-3;-2.252078503E-1
8.389995833E-1;-2.439611778E-2;2.620756254E-2;-2.343739122E-1
8.489205833E-1;-1.818137243E-2;5.225074664E-2;-2.405709922E-1
8.588415833E-1;-5.946462974E-2;2.157592215E-2;-2.308384627E-1
8.687625833E-1;-9.652064741E-2;-8.305140771E-3;-2.163661569E-1
8.786845833E-1;-9.807752818E-2;-1.267219242E-2;-2.096243650E-1
8.886055833E-1;-1.154545769E-1;-4.214727134E-2;-2.217016816E-1
8.985265833E-1;-1.230033115E-1;-7.253154367E-2;-2.367253751E-1
9.084475833E-1;-1.343094260E-1;-6.497912109E-2;-2.583139539E-1
9.183685833E-1;-1.119745523E-1;-1.693622768E-2;-2.540446222E-1
9.282895833E-1;-7.682228088E-2;6.204279512E-2;-1.958176643E-1
9.382115833E-1;-5.755351111E-2;1.105818376E-1;-8.429166675E-2
9.481325833E-1;-6.478706747E-2;9.513198584E-2;3.237569705E-2
9.580535833E-1;-8.808679879E-2;-2.382077510E-4;1.168311909E-1
9.679745833E-1;-9.408426285E-2;-1.132410020E-1;1.557918191E-1
9.778955833E-1;-8.444096148E-2;-2.007178515E-1;1.834964156E-1
9.878165833E-1;-8.282411098E-2;-1.819734722E-1;1.878877580E-1
9.977375833E-1;-7.775770873E-2;-7.381878048E-2;1.577050835E-1
1.007659583E0;-6.105675548E-2;-1.618397236E-2;9.363398701E-2
1.017580583E0;-1.699608378E-2;3.306213766E-2;4.067809507E-2
1.027501583E0;6.480077654E-2;9.841078520E-2;1.533439104E-2
1.037422583E0;1.626932472E-1;5.490139127E-2;-6.051599048E-4
1.047343583E0;2.574196756E-1;-3.118156828E-2;6.080768071E-3
1.057264583E0;3.283092976E-1;-8.864033222E-2;3.485063091E-2
1.067186583E0;3.503646851E-1;-1.298519522E-1;7.132378221E-2
1.077107583E0;3.195410073E-1;-1.315630376E-1;1.219323650E-1
1.087028583E0;2.517223954E-1;-1.031151339E-1;1.705616713E-1
1.096949583E0;1.456284374E-1;-8.471482247E-2;1.966729015E-1
1.106870583E0;2.837557346E-2;-1.211745664E-1;1.929428428E-1
1.116791583E0;-8.392886072E-2;-1.539290547E-1;1.739278734E-1
1.126712583E0;-1.739668846E-1;-1.497443020E-1;1.317765415E-1
1.136634583E0;-2.271411568E-1;-1.906288862E-1;7.648770511E-2
1.146555583E0;-2.358412296E-1;-2.907014191E-1;5.532855168E-2
1.156476583E0;-2.064758837E-1;-4.504407346E-1;8.400759846E-2
1.166397583E0;-1.532746851E-1;-5.648247004E-1;1.236949340E-1
1.176318583E0;-8.847463876E-2;-5.937024355E-1;1.284822524E-1
1.186239583E0;-2.261829562E-2;-5.283333063E-1;9.182140231E-2
1.196160583E0;3.869353235E-2;-3.874299824E-1;5.655609071E-2
1.206082583E0;1.136328578E-1;-2.456444651E-1;4.814298823E-2
1.216003583E0;2.293898016E-1;-1.519587189E-1;3.469802067E-2
1.225924583E0;3.635010123E-1;-1.097143292E-1;2.288419940E-2
1.235845583E0;4.863070846E-1;-1.189831942E-1;1.868785545E-2
1.245766583E0;5.480672717E-1;-1.072201356E-1;1.856197789E-2
1.255687583E0;5.500334501E-1;-9.097858518E-2;3.191278316E-3
1.265609583E0;4.987962544E-1;-1.479233652E-1;-8.843750693E-3
1.275530583E0;4.023924768E-1;-2.195538729E-1;8.785309270E-3
1.285451583E0;2.866427004E-1;-2.403707504E-1;4.119620845E-2
1.295372583E0;1.847874522E-1;-2.445263416E-1;4.025584459E-2
1.305293583E0;1.119174287E-1;-2.232258320E-1;8.052776568E-3
1.315214583E0;6.553687900E-2;-2.062327415E-1;-3.358095139E-2
1.325135583E0;3.673367202E-2;-2.120129764E-1;-4.222310334E-2
1.335057583E0;9.102312848E-3;-3.555163443E-1;-4.187875614E-2
1.344978583E0;-3.815390542E-2;-6.153293848E-1;-1.415624470E-2
1.354899583E0;-8.851108700E-2;-7.197013497E-1;2.691023238E-2
1.364820583E0;-1.430443376E-1;-6.785624027E-1;3.597921878E-2
1.374741583E0;-2.085503638E-1;-5.747334361E-1;1.423104573E-2
1.384662583E0;-2.688727975E-1;-3.709050715E-1;-1.541157626E-2
1.394584167E0;-3.010331392E-1;-1.833157092E-1;-4.008682817E-2
1.404505167E0;-2.828577757E-1;-1.291234344E-1;-3.528186306E-2
1.414426167E0;-2.369387448E-1;-1.557004601E-1;-1.044229325E-2
1.424347167E0;-1.608170420E-1;-2.192931324E-1;2.182267606E-2
1.434268167E0;-6.974732131E-2;-3.529359102E-1;1.614614762E-2
1.444189167E0;3.011351638E-2;-4.731519818E-1;-1.305430569E-2
1.454110167E0;1.272613704E-1;-5.523000360E-1;-6.421656162E-2
1.464032167E0;2.164338976E-1;-5.735551119E-1;-9.976705909E-2
1.473953167E0;2.806086242E-1;-5.378184319E-1;-1.125145480E-1
1.483874167E0;3.163453043E-1;-4.646123946E-1;-1.027653664E-1
1.493795167E0;3.347573280E-1;-3.226440549E-1;-7.911249995E-2
1.503716167E0;3.414119482E-1;-1.437612325E-1;-7.848498970E-2
1.513637167E0;3.399754465E-1;-8.076641709E-3;-9.107907861E-2
1.523559167E0;3.357582390E-1;1.157439500E-1;-9.987296909E-2
1.533480167E0;3.324836195E-1;1.100889891E-1;-1.115405485E-1
1.543401167E0;3.166708648E-1;-5.227452144E-3;-1.140317693E-1
1.553322167E0;2.966960967E-1;-1.436787993E-1;-8.518094569E-2
1.563243167E0;2.734673321E-1;-2.336803377E-1;-3.541097417E-2
1.573164167E0;2.691932321E-1;-2.580290735E-1;-1.099138614E-2
1.583085167E0;2.831325531E-1;-1.982652843E-1;-2.477973700E-2
1.593007167E0;2.961655259E-1;-1.161685362E-1;-4.040157050E-2
1.602928167E0;2.930947542E-1;-4.870356619E-2;-3.445936367E-2
1.612849167E0;2.658330202E-1;6.166605745E-3;-1.312211901E-2
1.622770167E0;2.175262868E-1;4.555659369E-2;3.728854936E-3
1.632691167E0;1.636601239E-1;4.753505439E-2;-5.823104642E-3
1.642612167E0;1.107905284E-1;4.419903830E-2;-3.298749775E-2
1.652534167E0;6.438015401E-2;8.593183756E-2;-6.420107931E-2
1.662455167E0;2.552366257E-2;1.076291725E-1;-9.756118804E-2
1.672376167E0;-1.229402144E-2;1.058541760E-1;-1.215088665E-1
1.682297167E0;-4.840002209E-2;1.164012700E-1;-1.036291718E-1
1.692218167E0;-7.863596082E-2;1.315605193E-1;-5.805610120E-2
1.702139167E0;-9.396205842E-2;1.256951392E-1;-5.052004009E-3
1.712061167E0;-8.710867912E-2;1.351123452E-1;3.223491460E-2
1.721982167E0;-6.773190200E-2;2.027546018E-1;3.999919444E-2
1.731903167E0;-4.201029241E-2;3.022390902E-1;5.349604413E-3
1.741824167E0;-2.031164430E-2;3.938075304E-1;-4.899973050E-2
1.751745167E0;-1.534431614E-2;4.411643744E-1;-8.313906193E-2
1.761666167E0;-3.096696176E-2;4.240851104E-1;-7.757830620E-2
