"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.750378873597766E9	"2025-06-19 20:21:13.598 UTC-04:00"
"PAUSE"	2.381111083333963E1	1.750378897408759E9	"2025-06-19 20:21:37.409 UTC-04:00"
